DAILY_COUNT,date
6377,2021/11/15
6072,2021/11/16
6409,2021/11/17
6108,2021/11/18
5829,2021/11/19
6516,2021/11/20
6683,2021/11/21
6016,2021/11/22
6384,2021/11/23
6469,2021/11/24
5947,2021/11/25
6044,2021/11/26
6539,2021/11/27
6551,2021/11/28
6483,2021/11/29
6047,2021/11/30
6353,2021/12/01
6008,2021/12/02
6134,2021/12/03
6575,2021/12/04
6856,2021/12/05
6751,2021/12/06
6691,2021/12/07
6618,2021/12/08
6152,2021/12/09
6114,2021/12/10
6687,2021/12/11
6789,2021/12/12
6640,2021/12/13
6561,2021/12/14
6742,2021/12/15
6411,2021/12/16
5773,2021/12/17
6409,2021/12/18
6747,2021/12/19
6662,2021/12/20
6528,2021/12/21
6801,2021/12/22
6505,2021/12/23
5370,2021/12/24
5411,2021/12/25
6071,2021/12/26
6297,2021/12/27
6649,2021/12/28
6779,2021/12/29
6458,2021/12/30
5910,2021/12/31
6612,2022/01/01
6692,2022/01/02
7393,2022/01/03
7068,2022/01/04
7052,2022/01/05
6777,2022/01/06
6315,2022/01/07
6875,2022/01/08
7097,2022/01/09
6387,2022/01/10
6295,2022/01/11
6685,2022/01/12
6276,2022/01/13
6345,2022/01/14
6449,2022/01/15
6841,2022/01/16
6902,2022/01/17
7009,2022/01/18
6853,2022/01/19
6059,2022/01/20
6101,2022/01/21
5827,2022/01/22
5958,2022/01/23
6191,2022/01/24
5873,2022/01/25
6214,2022/01/26
5840,2022/01/27
5492,2022/01/28
5024,2022/01/29
4263,2022/01/30
2227,2022/01/31
1969,2022/02/01
2874,2022/02/02
3505,2022/02/03
4276,2022/02/04
4543,2022/02/05
4855,2022/02/06
5979,2022/02/07
6002,2022/02/08
6093,2022/02/09
5699,2022/02/10
5833,2022/02/11
5551,2022/02/12
5869,2022/02/13
5818,2022/02/14
5377,2022/02/15
5006,2022/02/16
4960,2022/02/17
4963,2022/02/18
5443,2022/02/19
5659,2022/02/20
5216,2022/02/21
5330,2022/02/22
4991,2022/02/23
5123,2022/02/24
5183,2022/02/25
5691,2022/02/26
5746,2022/02/27
5731,2022/02/28
6573,2022/03/01
5250,2022/03/02
4878,2022/03/03
5918,2022/03/04
5118,2022/03/05
5549,2022/03/06
4608,2022/03/07
4930,2022/03/08
4959,2022/03/09
4736,2022/03/10
5015,2022/03/11
4735,2022/03/12
4919,2022/03/13
4469,2022/03/14
4262,2022/03/15
4197,2022/03/16
3756,2022/03/17
3558,2022/03/18
3307,2022/03/19
3836,2022/03/20
3606,2022/03/21
3613,2022/03/22
4092,2022/03/23
4013,2022/03/24
3495,2022/03/25
4637,2022/03/26
4674,2022/03/27
4443,2022/03/28
4518,2022/03/29
4487,2022/03/30
4227,2022/03/31
4122,2022/04/01
3686,2022/04/02
4426,2022/04/03
4711,2022/04/04
4856,2022/04/05
4643,2022/04/06
4659,2022/04/07
4416,2022/04/08
4824,2022/04/09
4776,2022/04/10
4532,2022/04/11
4426,2022/04/12
4547,2022/04/13
4632,2022/04/14
4194,2022/04/15
5235,2022/04/16
5365,2022/04/17
4708,2022/04/18
4814,2022/04/19
5161,2022/04/20
4836,2022/04/21
4745,2022/04/22
5559,2022/04/23
4404,2022/04/24
4887,2022/04/25
4826,2022/04/26
4946,2022/04/27
4921,2022/04/28
4521,2022/04/29
5494,2022/04/30
4748,2022/05/01
5250,2022/05/02
5395,2022/05/03
5452,2022/05/04
4178,2022/05/05
3884,2022/05/06
4052,2022/05/07
5404,2022/05/08
5015,2022/05/09
4568,2022/05/10
5104,2022/05/11
5189,2022/05/12
4748,2022/05/13
5286,2022/05/14
5967,2022/05/15
5671,2022/05/16
5416,2022/05/17
5105,2022/05/18
5283,2022/05/19
5031,2022/05/20
5203,2022/05/21
5483,2022/05/22
5173,2022/05/23
5350,2022/05/24
5202,2022/05/25
4725,2022/05/26
4874,2022/05/27
5514,2022/05/28
5457,2022/05/29
4769,2022/05/30
5109,2022/05/31
4952,2022/06/01
4678,2022/06/02
5140,2022/06/03
4843,2022/06/04
5272,2022/06/05
4718,2022/06/06
4802,2022/06/07
5488,2022/06/08
5257,2022/06/09
4512,2022/06/10
5035,2022/06/11
5618,2022/06/12
5131,2022/06/13
4780,2022/06/14
5094,2022/06/15
5011,2022/06/16
4684,2022/06/17
5193,2022/06/18
5154,2022/06/19
4874,2022/06/20
5436,2022/06/21
5252,2022/06/22
4346,2022/06/23
4914,2022/06/24
5440,2022/06/25
5150,2022/06/26
4380,2022/06/27
4892,2022/06/28
5564,2022/06/29
5205,2022/06/30
4839,2022/07/01
5556,2022/07/02
5603,2022/07/03
5648,2022/07/04
5822,2022/07/05
5749,2022/07/06
5393,2022/07/07
5658,2022/07/08
5967,2022/07/09
5753,2022/07/10
6268,2022/07/11
6090,2022/07/12
6508,2022/07/13
6094,2022/07/14
5854,2022/07/15
6359,2022/07/16
6042,2022/07/17
6456,2022/07/18
6449,2022/07/19
6535,2022/07/20
6337,2022/07/21
6274,2022/07/22
6310,2022/07/23
6426,2022/07/24
6860,2022/07/25
6714,2022/07/26
6872,2022/07/27
6374,2022/07/28
6329,2022/07/29
6542,2022/07/30
6440,2022/07/31
6853,2022/08/01
6721,2022/08/02
6652,2022/08/03
6389,2022/08/04
6052,2022/08/05
6154,2022/08/06
6412,2022/08/07
6843,2022/08/08
6546,2022/08/09
6660,2022/08/10
6147,2022/08/11
5793,2022/08/12
6408,2022/08/13
6477,2022/08/14
6993,2022/08/15
6903,2022/08/16
7106,2022/08/17
6492,2022/08/18
6090,2022/08/19
6502,2022/08/20
6471,2022/08/21
6853,2022/08/22
6863,2022/08/23
7214,2022/08/24
6526,2022/08/25
6351,2022/08/26
6428,2022/08/27
6515,2022/08/28
6613,2022/08/29
6304,2022/08/30
6273,2022/08/31
5217,2022/09/01
5409,2022/09/02
6199,2022/09/03
6175,2022/09/04
5694,2022/09/05
5396,2022/09/06
5070,2022/09/07
4711,2022/09/08
4671,2022/09/09
4671,2022/09/10
5136,2022/09/11
5932,2022/09/12
5118,2022/09/13
4728,2022/09/14
3978,2022/09/15
4412,2022/09/16
5473,2022/09/17
5547,2022/09/18
5171,2022/09/19
5011,2022/09/20
5483,2022/09/21
5131,2022/09/22
5002,2022/09/23
5768,2022/09/24
5893,2022/09/25
5368,2022/09/26
5427,2022/09/27
5758,2022/09/28
5050,2022/09/29
4982,2022/09/30
5102,2022/10/01
4890,2022/10/02
5004,2022/10/03
5403,2022/10/04
5226,2022/10/05
5425,2022/10/06
5665,2022/10/07
4161,2022/10/08
4043,2022/10/09
4965,2022/10/10
5510,2022/10/11
5624,2022/10/12
5323,2022/10/13
5010,2022/10/14
5881,2022/10/15
5975,2022/10/16
5489,2022/10/17
5493,2022/10/18
5663,2022/10/19
5386,2022/10/20
5400,2022/10/21
6153,2022/10/22
6376,2022/10/23
5807,2022/10/24
5868,2022/10/25
5828,2022/10/26
5434,2022/10/27
5289,2022/10/28
5812,2022/10/29
5874,2022/10/30
5387,2022/10/31
5294,2022/11/01
5430,2022/11/02
3992,2022/11/03
4540,2022/11/04
3550,2022/11/05
3465,2022/11/06
3380,2022/11/07
3301,2022/11/08
2904,2022/11/09
2624,2022/11/10
3100,2022/11/11
3144,2022/11/12
3670,2022/11/13
3471,2022/11/14
3841,2022/11/15
4166,2022/11/16
4052,2022/11/17
4214,2022/11/18
4650,2022/11/19
4727,2022/11/20
4400,2022/11/21
4089,2022/11/22
4389,2022/11/23
3932,2022/11/24
4174,2022/11/25
4285,2022/11/26
4252,2022/11/27
4031,2022/11/28
3921,2022/11/29
3570,2022/11/30
3418,2022/12/01
3786,2022/12/02
4150,2022/12/03
4037,2022/12/04
4040,2022/12/05
4547,2022/12/06
4194,2022/12/07
3824,2022/12/08
4019,2022/12/09
4278,2022/12/10
4185,2022/12/11
4633,2022/12/12
4841,2022/12/13
5288,2022/12/14
4149,2022/12/15
3854,2022/12/16
3231,2022/12/17
3395,2022/12/18
3578,2022/12/19
3575,2022/12/20
3459,2022/12/21
2905,2022/12/22
2703,2022/12/23
2623,2022/12/24
2672,2022/12/25
3026,2022/12/26
3130,2022/12/27
3188,2022/12/28
3211,2022/12/29
3226,2022/12/30
3204,2022/12/31
2988,2023/01/01
3893,2023/01/02
4088,2023/01/03
3834,2023/01/04
3504,2023/01/05
3518,2023/01/06
3684,2023/01/07
3432,2023/01/08
3758,2023/01/09
3930,2023/01/10
3896,2023/01/11
3381,2023/01/12
3616,2023/01/13
3232,2023/01/14
3158,2023/01/15
3898,2023/01/16
3883,2023/01/17
4087,2023/01/18
3749,2023/01/19
3257,2023/01/20
952,2023/01/21
795,2023/01/22
1765,2023/01/23
1720,2023/01/24
2660,2023/01/25
3331,2023/01/26
3788,2023/01/27
3791,2023/01/28
3376,2023/01/29
4751,2023/01/30
4929,2023/01/31
4860,2023/02/01
4199,2023/02/02
4702,2023/02/03
4152,2023/02/04
3836,2023/02/05
4284,2023/02/06
4489,2023/02/07
4552,2023/02/08
4178,2023/02/09
4188,2023/02/10
4882,2023/02/11
4654,2023/02/12
4527,2023/02/13
4646,2023/02/14
4761,2023/02/15
4314,2023/02/16
4321,2023/02/17
4951,2023/02/18
4964,2023/02/19
4650,2023/02/20
5009,2023/02/21
5006,2023/02/22
4839,2023/02/23
4986,2023/02/24
5661,2023/02/25
5583,2023/02/26
5980,2023/02/27
5863,2023/02/28
6069,2023/03/01
5889,2023/03/02
6095,2023/03/03
6633,2023/03/04
6591,2023/03/05
6704,2023/03/06
6489,2023/03/07
6625,2023/03/08
5968,2023/03/09
6308,2023/03/10
6531,2023/03/11
6430,2023/03/12
6333,2023/03/13
6315,2023/03/14
6175,2023/03/15
5959,2023/03/16
5977,2023/03/17
6348,2023/03/18
6647,2023/03/19
6584,2023/03/20
6338,2023/03/21
6220,2023/03/22
5813,2023/03/23
5924,2023/03/24
6430,2023/03/25
6274,2023/03/26
6396,2023/03/27
6136,2023/03/28
5958,2023/03/29
5764,2023/03/30
5547,2023/03/31
5983,2023/04/01
5777,2023/04/02
5849,2023/04/03
4535,2023/04/04
5990,2023/04/05
5559,2023/04/06
5132,2023/04/07
5451,2023/04/08
5854,2023/04/09
5524,2023/04/10
5492,2023/04/11
5387,2023/04/12
5510,2023/04/13
5230,2023/04/14
5737,2023/04/15
5922,2023/04/16
5828,2023/04/17
5823,2023/04/18
5648,2023/04/19
5560,2023/04/20
5326,2023/04/21
6129,2023/04/22
5142,2023/04/23
5986,2023/04/24
6105,2023/04/25
6136,2023/04/26
5927,2023/04/27
5599,2023/04/28
5760,2023/04/29
5401,2023/04/30
5573,2023/05/01
5825,2023/05/02
6453,2023/05/03
5585,2023/05/04
5677,2023/05/05
5539,2023/05/06
6508,2023/05/07
6346,2023/05/08
6466,2023/05/09
6663,2023/05/10
6435,2023/05/11
6094,2023/05/12
6458,2023/05/13
6531,2023/05/14
6508,2023/05/15
6897,2023/05/16
6671,2023/05/17
6090,2023/05/18
6025,2023/05/19
6242,2023/05/20
6481,2023/05/21
6550,2023/05/22
6827,2023/05/23
6922,2023/05/24
6435,2023/05/25
6469,2023/05/26
6553,2023/05/27
6238,2023/05/28
6559,2023/05/29
6648,2023/05/30
6257,2023/05/31
5472,2023/06/01
6065,2023/06/02
6313,2023/06/03
6611,2023/06/04
6729,2023/06/05
6629,2023/06/06
6825,2023/06/07
6218,2023/06/08
6319,2023/06/09
6514,2023/06/10
6478,2023/06/11
6556,2023/06/12
6545,2023/06/13
6331,2023/06/14
6089,2023/06/15
5815,2023/06/16
6203,2023/06/17
6132,2023/06/18
5770,2023/06/19
6077,2023/06/20
6119,2023/06/21
5869,2023/06/22
5853,2023/06/23
5905,2023/06/24
5249,2023/06/25
5948,2023/06/26
6094,2023/06/27
6477,2023/06/28
5697,2023/06/29
5568,2023/06/30
6158,2023/07/01
6496,2023/07/02
6605,2023/07/03
6428,2023/07/04
6754,2023/07/05
6681,2023/07/06
6482,2023/07/07
6451,2023/07/08
6520,2023/07/09
6959,2023/07/10
6904,2023/07/11
7315,2023/07/12
6756,2023/07/13
6428,2023/07/14
6576,2023/07/15
6921,2023/07/16
7162,2023/07/17
7228,2023/07/18
7568,2023/07/19
7060,2023/07/20
6842,2023/07/21
6757,2023/07/22
6878,2023/07/23
7280,2023/07/24
7299,2023/07/25
7295,2023/07/26
7056,2023/07/27
6867,2023/07/28
6940,2023/07/29
6897,2023/07/30
7312,2023/07/31
7177,2023/08/01
7139,2023/08/02
7068,2023/08/03
6771,2023/08/04
6921,2023/08/05
6602,2023/08/06
7233,2023/08/07
7228,2023/08/08
7407,2023/08/09
7305,2023/08/10
6824,2023/08/11
6854,2023/08/12
6860,2023/08/13
7239,2023/08/14
7345,2023/08/15
7233,2023/08/16
7166,2023/08/17
